City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
63,santa maria da boa vista,BR,77.63,overcast clouds,-8.8078,-39.8256,Fênix Hotel e Restaurante
64,surman,LY,54.25,scattered clouds,32.7567,12.5716,عمارة السفير
65,shetpe,KZ,49.98,scattered clouds,44.1667,52.1167,Rtsm Shetpe Analog
66,kalat,PK,53.71,clear sky,29.0225,66.5916,PHE Rest House
67,faya,SA,57.72,clear sky,18.3851,42.4509,املاك خالد الشعشوع
68,tabou,CI,78.04,scattered clouds,4.423,-7.3528,hotêl doufoulougou
69,salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
70,bandarbeyla,SO,80.89,clear sky,9.4942,50.8122,JABIR HOTEL
71,hithadhoo,MV,81.45,few clouds,-0.6,73.0833,Scoop Guest House
72,sabha,LY,48.72,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
73,necochea,AR,53.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
74,nouadhibou,MR,64.78,clear sky,20.931,-17.0347,El Medina
75,georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
76,longyearbyen,SJ,12.04,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
78,ivybridge,GB,49.33,overcast clouds,50.3904,-3.9191,The Anchor Inn
79,axim,GH,78.12,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
80,cururupu,BR,78.87,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
81,pafos,CY,73.24,clear sky,34.7667,32.4167,Elysium Hotel
82,hoyanger,NO,34.99,light snow,61.2204,6.0749,Øren Hotel
83,xai-xai,MZ,80.67,broken clouds,-25.0519,33.6442,Complexo da Familia
85,vestmannaeyjar,IS,35.19,snow,63.4427,-20.2734,Glamping & Camping
86,klaksvik,FO,32.92,light snow,62.2266,-6.589,Airbnb rooms
87,winsum,NL,48.22,overcast clouds,53.33,6.5208,Tuinhuis
89,arraial do cabo,BR,73.83,few clouds,-22.9661,-42.0278,Pousada Porto Praia
90,maniitsoq,GL,32.99,snow,65.4167,-52.9,Hotel Heilmann Lyberth
